ID Escenario,HU,Escenario,Precondición,Paso,Action,Data,Expected Result
TC-005,HU_01,Layout con los 10 campos obligatorios/opcionales y longitudes correctas,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-005,HU_01,Layout con los 10 campos obligatorios/opcionales y longitudes correctas,,4,Verificar el resultado de la validación de estructura del layout.,N/A,El layout se considera estructuralmente válido y continúa con la validación de identidad y negocio
TC-006,HU_01,Registro con campo obligatorio faltante: Convenio,"Layout Excel con 1 registro válido en todos los campos excepto 'Convenio' (obligatorio, numérico, 1-8 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-006,HU_01,Registro con campo obligatorio faltante: Convenio,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'Convenio',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-006,HU_01,Registro con campo obligatorio faltante: Convenio,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-006,HU_01,Registro con campo obligatorio faltante: Convenio,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: Convenio"" y se incluye en la notificación a la empresa"
TC-007,HU_01,Registro con campo obligatorio faltante: Número de empleado,"Layout Excel con 1 registro válido en todos los campos excepto 'Número de empleado' (obligatorio, alfanumérico, 1-10 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-007,HU_01,Registro con campo obligatorio faltante: Número de empleado,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'Número de empleado',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-007,HU_01,Registro con campo obligatorio faltante: Número de empleado,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-007,HU_01,Registro con campo obligatorio faltante: Número de empleado,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: Número de empleado"" y se incluye en la notificación a la empresa"
TC-008,HU_01,Registro con campo obligatorio faltante: Primer Apellido,"Layout Excel con 1 registro válido en todos los campos excepto 'Primer Apellido' (obligatorio, alfanumérico, 2-30 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-008,HU_01,Registro con campo obligatorio faltante: Primer Apellido,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'Primer Apellido',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-008,HU_01,Registro con campo obligatorio faltante: Primer Apellido,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-008,HU_01,Registro con campo obligatorio faltante: Primer Apellido,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: Primer Apellido"" y se incluye en la notificación a la empresa"
TC-009,HU_01,Registro con campo obligatorio faltante: Primer Nombre,"Layout Excel con 1 registro válido en todos los campos excepto 'Primer Nombre' (obligatorio, alfanumérico, 2-30 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-009,HU_01,Registro con campo obligatorio faltante: Primer Nombre,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'Primer Nombre',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-009,HU_01,Registro con campo obligatorio faltante: Primer Nombre,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-009,HU_01,Registro con campo obligatorio faltante: Primer Nombre,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: Primer Nombre"" y se incluye en la notificación a la empresa"
TC-010,HU_01,Registro con campo obligatorio faltante: RFC,"Layout Excel con 1 registro válido en todos los campos excepto 'RFC' (obligatorio, alfanumérico, exactamente 13 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-010,HU_01,Registro con campo obligatorio faltante: RFC,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'RFC',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-010,HU_01,Registro con campo obligatorio faltante: RFC,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-010,HU_01,Registro con campo obligatorio faltante: RFC,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: RFC"" y se incluye en la notificación a la empresa"
TC-011,HU_01,Registro con campo obligatorio faltante: CURP,"Layout Excel con 1 registro válido en todos los campos excepto 'CURP' (obligatorio, alfanumérico, exactamente 18 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-011,HU_01,Registro con campo obligatorio faltante: CURP,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'CURP',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-011,HU_01,Registro con campo obligatorio faltante: CURP,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-011,HU_01,Registro con campo obligatorio faltante: CURP,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: CURP"" y se incluye en la notificación a la empresa"
TC-012,HU_01,Registro con campo obligatorio faltante: Correo electrónico,"Layout Excel con 1 registro válido en todos los campos excepto 'Correo electrónico' (obligatorio, alfanumérico, máximo 40 posiciones), el cual se deja vacío.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-012,HU_01,Registro con campo obligatorio faltante: Correo electrónico,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro sin el campo 'Correo electrónico',"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-012,HU_01,Registro con campo obligatorio faltante: Correo electrónico,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-012,HU_01,Registro con campo obligatorio faltante: Correo electrónico,,4,Verificar el reporte/detalle de rechazos del registro procesado.,N/A,"El registro se marca como no válido, se agrega al detalle de rechazos con la causa ""campo obligatorio faltante: Correo electrónico"" y se incluye en la notificación a la empresa"
TC-013,HU_01,Registro válido sin campos opcionales,"Layout Excel con 1 registro que omite los campos opcionales (Segundo Apellido, Segundo Nombre, Rango Salarial) pero cumple todos los obligatorios.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-013,HU_01,Registro válido sin campos opcionales,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman","Registro sin Segundo Apellido, Segundo Nombre y Rango Salarial","Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-013,HU_01,Registro válido sin campos opcionales,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-013,HU_01,Registro válido sin campos opcionales,,4,Verificar el resultado de validación del registro.,N/A,El registro se considera válido; los campos opcionales vacíos no generan rechazo
TC-014,HU_01,Convenio en límites de longitud (1 y 8 posiciones),"Layout con 2 registros: uno con Convenio de 1 dígito y otro con Convenio de 8 dígitos, resto de campos válidos.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-014,HU_01,Convenio en límites de longitud (1 y 8 posiciones),,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro A: Convenio de 1 posición; Registro B: Convenio de 8 posiciones,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-014,HU_01,Convenio en límites de longitud (1 y 8 posiciones),,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-014,HU_01,Convenio en límites de longitud (1 y 8 posiciones),,4,Verificar validación de longitud del campo Convenio para ambos registros.,N/A,Ambos registros pasan la validación de longitud de Convenio (límites válidos: 1 y 8 aceptados)
TC-015,HU_01,Convenio excede longitud máxima o no es numérico,Layout con 1 registro con Convenio de 9 dígitos y otro registro con Convenio alfabético.,1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-015,HU_01,Convenio excede longitud máxima o no es numérico,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro A: Convenio de 9 posiciones; Registro B: Convenio no numérico,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-015,HU_01,Convenio excede longitud máxima o no es numérico,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-015,HU_01,Convenio excede longitud máxima o no es numérico,,4,Verificar el detalle de rechazos.,N/A,Ambos registros se marcan como no válidos por incumplir la especificación del campo Convenio (longitud/tipo)
TC-016,HU_01,Convenio no coincide con registros del banco,"Layout Excel válido en estructura, con Convenio inexistente en el catálogo de convenios del banco.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-016,HU_01,Convenio no coincide con registros del banco,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro con Convenio no registrado en banco,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-016,HU_01,Convenio no coincide con registros del banco,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-016,HU_01,Convenio no coincide con registros del banco,,4,Verificar la notificación enviada a la empresa.,N/A,"La solicitud completa no se procesa; se envía a la empresa el correo ""Respuesta a solicitud de pre-registro"" indicando que no fue posible procesar la solicitud, sin reporte adjunto"
TC-017,HU_01,Número de empleado en límites de longitud (1 y 10 posiciones),"Layout con 2 registros: Número de empleado de 1 carácter y de 10 caracteres, resto de campos válidos.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-017,HU_01,Número de empleado en límites de longitud (1 y 10 posiciones),,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro A: Núm. empleado 1 carácter; Registro B: 10 caracteres,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-017,HU_01,Número de empleado en límites de longitud (1 y 10 posiciones),,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-017,HU_01,Número de empleado en límites de longitud (1 y 10 posiciones),,4,Verificar validación de longitud del campo.,N/A,Ambos registros pasan la validación de longitud
TC-018,HU_01,Primer/Segundo Apellido y Nombre en límites de longitud (2 y 30 posiciones),"Layout con registros que prueban longitud mínima (2) y máxima (30) en Primer Apellido, Segundo Apellido, Primer Nombre y Segundo Nombre.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-018,HU_01,Primer/Segundo Apellido y Nombre en límites de longitud (2 y 30 posiciones),,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registros con campos de nombre/apellido en 2 y 30 posiciones,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-018,HU_01,Primer/Segundo Apellido y Nombre en límites de longitud (2 y 30 posiciones),,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-018,HU_01,Primer/Segundo Apellido y Nombre en límites de longitud (2 y 30 posiciones),,4,Verificar validación de longitud de cada campo.,N/A,Todos los registros pasan la validación de longitud
TC-019,HU_01,Validación de longitud excedida en Primer Nombre,"Layout con 1 registro cuyo Primer Nombre excede 30 caracteres, resto de campos válidos.",1,Ejecutar el endpoint: [https://ccop-bcsmx-payroll-back-scheduler-nominees-worker.ccopmx.dbuist.npe-k8s.recursos/management/token] para la generación del Token.,N/A,El response obtiene un 200 OK y se genera exitosamente el Bearer Token
TC-019,HU_01,Validación de longitud excedida en Primer Nombre,,2,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/nominees/upload] cargar el archivo de layout y dar clic en el botón ""Send"" de Postman",Registro con Primer Nombre de 31+ caracteres,"Se obtiene un código 200 OK y el mensaje en el Response:
{
 ""message"": ""Archivo recibido, procesamiento iniciado""
}"
TC-019,HU_01,Validación de longitud excedida en Primer Nombre,,3,"En el body del endpoint [https://ccop-bcsmx-payroll-back-orchestrator-nominees-api.int.dbuist.npe-k8s.recursos/api/v1/payroll/nominees/task/pre-register/data-ingestion] mandar el request del scheduler:
{
 ""job_id"": ""JOB-<fecha>-XXX"",
 ""execution_date"": ""<timestamp>"",
 ""origin"": ""SCHEDULER""
}",N/A,"Se obtiene un código 200 OK y el response manda notificación con código 202 ACCEPTED: ""The layout ingestion and validation batch process has been triggered and is being executed."" / ""Process started successfully"""
TC-019,HU_01,Validación de longitud excedida en Primer Nombre,,4,Verificar el detalle de rechazos.,N/A,"El registro se marca como no válido con la causa ""longitud excedida en primer nombre"""
